crtR(2011:2022),mean curvature,Gaussian curvature,ridge degree,ravine degree
0.450588,83.869556,-7931.888655,-100,108.440074
0.445915,81.065122,-21975.55845,-100,148.97139
0.420682,167.879327,15042.0645,-100,-100
0.396849,65.828285,2965.734469,-100,-100
0.403322,79.013261,4250.220977,-100,-100
0.396978,40.305706,696.285745,-100,-100
0.439838,-90.827794,-3768.487575,167.546569,-100
0.459461,-121.369809,-1638.79034,203.281,-100
0.420317,154.660848,12348.40887,-100,-100
0.462401,92.254775,127.32339,-100,-100
0.458954,111.065468,114.073515,-100,-100
0.466799,-113.801737,-11384.84844,225.407994,-100
0.475311,-113.801737,-11384.84844,234.661939,-100
0.489587,4.710813,-25.799201,-100,-100
0.470504,119.512956,2612.444276,-100,115.435018
0.458567,47.927883,1547.493093,-100,-100
0.429084,-182.02892,19667.94893,162.829352,-100
0.432787,-178.265581,16082.59475,192.611958,-100
0.443004,181.717684,10454.88016,-100,205.121625
0.447133,139.890158,-9044.394335,-100,144.006221
0.420381,99.020715,6247.341015,-100,-100
0.412449,52.338621,1102.028438,-100,-100
0.398114,236.748894,26888.01268,-100,-100
0.405662,347.033392,-1644.357785,-100,503.196611
0.389803,23.108985,478.336478,-100,-100
0.459122,-178.265581,16082.59475,220.627963,-100
0.494152,-200.720512,19128.38963,329.158782,-100
0.480603,-92.905262,3798.525401,-100,-100
0.494054,-95.751973,3963.285674,-100,-100
0.480724,-16.536911,-182.261659,-100,-100
0.457243,-110.708132,6792.38651,101.313966,-100
0.468598,119.512956,2612.444276,-100,115.435018
0.467311,113.598689,2448.662185,-100,110.490494
0.431515,168.816847,13413.11038,-100,126.120574
0.437705,168.816847,13413.11038,-100,174.862981
0.430763,165.721891,12622.56751,-100,123.371249
0.436886,165.721891,12622.56751,-100,141.86408
0.439761,168.816847,13413.11038,-100,169.336639
0.483941,4.19521,-7470.350515,-100,56.192181
0.480666,3.433846,-4476.40612,-100,30.22395
0.480241,0.984515,-2768.058878,-100,6.918032
0.481243,0.984515,-2768.058878,-100,19.837387
0.47012,63.876348,2071.884986,-100,-100
0.484036,9.421304,-7392.477625,-100,58.899482
0.482708,-200.720512,19128.38963,312.237712,-100
0.504853,-1.447494,-21.600268,-100,-100
0.417308,39.720553,-97.599972,-100,-100
0.455595,141.349343,3845.807117,-100,157.914031
0.452878,147.046822,5626.878363,-100,159.385364
0.48227,20.663322,-2664.032489,-100,32.81626
0.466687,63.876348,2071.884986,-100,-100
0.466643,43.20494,1225.382637,-100,-100
0.517358,-179.528894,18358.45555,216.638412,-100
0.499959,-179.528894,18358.45555,201.906395,-100
0.491796,-95.708675,-8664.244321,182.781236,-100
0.393689,-12.822075,-211.456183,26.219737,-100
0.39752,-0.337802,-164.080747,-100,-100
0.49249,-95.708675,-8664.244321,203.434899,-100
0.407163,52.338621,1102.028438,-100,-100
0.411476,52.338621,1102.028438,-100,-100
0.404788,52.15747,1068.816783,-100,-100
0.47508,-182.189183,13020.68284,203.853517,-100
0.507307,-136.932667,-12132.51428,295.640811,-100
0.462099,63.876348,2071.884986,-100,-100
0.466324,62.202613,-2154.042067,-100,103.199095
0.469836,62.202613,-2154.042067,-100,103.199095
0.466719,20.977411,-6658.855546,-100,62.59674
0.423163,29.442438,-1017.534266,-100,-100
0.415955,74.816009,1891.026895,-100,-100
0.443442,165.721891,12622.56751,-100,146.980877
0.513985,-7.61257,-50.424363,-100,-100
0.49449,4.710813,-25.799201,-100,-100
0.494862,4.710813,-25.799201,-100,-100
0.502358,-1.447494,-21.600268,-100,-100
0.506055,-1.447494,-21.600268,-100,-100
0.504824,-1.447494,-21.600268,-100,-100
0.49287,4.710813,-25.799201,-100,-100
0.481893,20.663322,-2664.032489,-100,32.81626
0.482905,0.984515,-2768.058878,-100,-100
0.482216,33.946202,-1482.959903,-100,-100
0.486413,-179.528894,18358.45555,267.053793,-100
0.484459,21.278905,246.327593,-100,-100
0.462421,113.598689,2448.662185,-100,110.490494
0.457539,113.983395,2490.705774,-100,103.385617
0.459329,113.983395,2490.705774,-100,103.385617
0.461831,128.400822,1138.896565,-100,113.818726
0.466938,33.065241,747.541206,-100,-100
0.467256,33.065241,747.541206,-100,-100
0.445757,26.719023,-126.742106,-100,-100
0.451984,51.700231,1005.53582,-100,-100
0.497077,-95.708675,-8664.244321,182.781236,-100
0.481395,-46.456763,-1699.739931,76.044844,-100
0.478744,-5.676754,-7223.72284,-100,46.312002
0.479863,23.733002,-2805.991573,-100,32.963828
0.481114,20.663322,-2664.032489,-100,-100
0.479993,2.500937,-1658.156064,-100,-100
0.477748,2.500937,-1658.156064,-100,-100
0.518174,-7.61257,-50.424363,-100,-100
0.511362,-7.61257,-50.424363,-100,-100
0.487637,-17.661767,-60.633711,-100,-100
0.498235,-136.932667,-12132.51428,295.640811,-100
0.489895,-136.932667,-12132.51428,278.719741,-100
0.477076,-36.558526,-3332.071782,97.357709,-100
0.449445,-179.528894,18358.45555,201.906395,-100
0.469462,-179.528894,18358.45555,267.053793,-100
0.456582,107.954549,2318.271291,-100,98.249543
0.450136,119.12498,3602.734332,-100,96.939869
0.446262,168.816847,13413.11038,-100,171.936595
0.465707,-17.661767,-60.633711,-100,-100
0.500397,-7.61257,-50.424363,-100,-100
