crtR(2011:2022),peak,pit,saddle,ridge,ravine
0.476659,0,0,1,0,0
0.476423,0,1,0,0,0
0.455578,0,0,1,1,0
0.468758,1,0,0,0,0
0.477614,0,1,0,0,0
0.500482,0,1,0,0,0
0.414026,0,0,1,0,1
0.411691,0,0,1,0,1
0.417671,0,0,1,0,1
0.422711,0,0,1,0,1
0.418557,0,0,1,0,1
0.414093,0,0,1,0,1
0.465466,1,0,0,0,0
0.469038,1,0,0,0,0
0.467315,0,1,0,0,0
0.407148,1,0,0,0,0
0.419275,1,0,0,0,0
0.417191,1,0,0,0,0
0.431266,0,0,1,0,0
0.427508,1,0,0,0,0
0.424946,0,0,1,0,1
0.425976,1,0,0,1,0
0.378299,0,0,1,1,0
0.528071,1,0,0,0,0
0.51829,1,0,0,0,0
0.502642,0,0,1,1,0
0.508043,0,0,1,1,0
0.521983,0,0,1,0,0
0.477916,0,1,0,0,1
0.396122,1,0,0,0,0
0.399125,1,0,0,0,0
0.412337,0,0,1,0,0
0.417215,0,0,1,0,0
0.410559,0,0,1,0,0
0.508799,0,1,0,0,0
0.466397,1,0,0,0,0
0.462816,1,0,0,0,0
0.463586,1,0,0,0,0
0.459639,1,0,0,0,0
0.444542,1,0,0,0,0
0.452038,0,0,1,0,0
0.452675,1,0,0,0,0
0.450071,0,0,1,0,0
0.492358,0,0,1,1,0
0.492445,0,1,0,0,0
0.524039,0,0,1,1,0
0.410992,1,0,0,1,0
0.425913,1,0,0,1,0
0.425316,1,0,0,1,0
0.424414,1,0,0,1,0
0.419557,1,0,0,1,0
0.536226,0,1,0,0,0
0.52809,1,0,0,0,0
0.517758,1,0,0,1,0
0.535013,0,0,1,0,0
0.389721,0,0,1,1,0
0.385712,0,0,1,1,0
0.468153,1,0,0,0,0
0.469478,0,1,0,0,0
0.4694,0,1,0,0,0
0.456729,1,0,0,0,0
0.439869,1,0,0,0,0
0.45604,1,0,0,0,0
0.457769,1,0,0,0,0
0.461046,1,0,0,0,0
0.464245,1,0,0,0,0
0.417352,1,0,0,0,0
0.438392,0,0,1,0,0
0.480162,0,1,0,0,0
0.496442,0,1,0,0,0
0.465219,0,1,0,0,0
0.43993,1,0,0,0,0
0.433375,1,0,0,0,0
0.433426,0,0,1,0,0
0.388891,0,0,1,1,0
0.465232,1,0,0,0,0
0.463888,0,0,1,0,0
0.466689,0,0,1,0,1
0.406056,1,0,0,1,0
0.429789,0,0,1,0,0
0.424285,1,0,0,1,0
0.51944,0,1,0,0,0
0.493057,0,0,1,0,0
0.469866,0,1,0,0,0
0.469874,0,1,0,0,0
0.470271,0,1,0,0,0
0.469427,1,0,0,0,0
0.465755,1,0,0,0,0
0.506529,0,1,0,0,0
0.495943,0,1,0,0,0
0.493982,0,1,0,0,0
0.417521,1,0,0,1,0
0.42851,1,0,0,0,0
0.42549,1,0,0,0,0
0.4241,1,0,0,0,0
0.47214,0,0,1,0,0
0.476723,0,0,1,0,0
0.47901,0,0,1,0,0
0.479823,0,0,1,0,0
0.475617,0,0,1,0,0
0.426453,1,0,0,1,0
0.471383,0,1,0,0,1
0.466286,0,0,1,0,0
0.467472,0,0,1,0,1
0.468336,0,0,1,0,0
0.469059,0,0,1,0,0
0.404875,1,0,0,0,0
0.402586,1,0,0,0,0
0.419855,0,0,1,0,1
0.423295,0,0,1,0,1
0.458409,1,0,0,0,0
0.450314,1,0,0,0,0
0.422375,1,0,0,1,0
0.425916,1,0,0,1,0
0.422485,0,0,1,0,0
0.463255,1,0,0,0,0
0.46537,1,0,0,0,0
0.380043,0,0,1,0,0
0.426874,1,0,0,0,0
0.428309,1,0,0,0,0
0.50972,0,0,1,0,0
0.468581,0,1,0,0,0
0.464295,0,1,0,0,0
0.480729,0,1,0,0,0
0.525995,1,0,0,0,0
0.532177,1,0,0,0,0
0.529018,1,0,0,0,0
0.527743,1,0,0,0,0
0.532253,0,0,1,0,0
0.535454,0,0,1,0,0
0.467582,1,0,0,0,0
0.466656,1,0,0,0,0
0.467608,1,0,0,0,0
0.464017,0,0,1,0,1
0.520625,0,1,0,0,0
0.509554,0,1,0,0,0
0.492736,0,0,1,0,0
0.489589,0,0,1,1,0
0.503637,0,1,0,0,0
0.466527,0,0,1,1,0
0.464731,0,0,1,1,0
0.486325,0,0,1,1,0
0.488434,0,0,1,1,0
0.452268,1,0,0,0,0
0.441149,1,0,0,0,0
0.447043,1,0,0,0,0
0.388421,1,0,0,1,0
0.513798,0,1,0,0,0
0.516895,0,1,0,0,0
0.459713,1,0,0,0,0
0.531885,1,0,0,0,0
0.53927,0,1,0,0,0
0.458303,1,0,0,0,0
0.454235,1,0,0,0,0
0.461727,1,0,0,0,0
0.463079,1,0,0,0,0
0.463672,1,0,0,0,0
0.448925,0,0,1,0,0
0.453184,0,0,1,0,0
0.450788,0,0,1,0,0
0.527648,0,1,0,0,0
0.524888,0,1,0,0,0
0.533386,0,1,0,0,0
0.46765,0,0,1,0,1
0.46563,0,0,1,0,1
0.461654,0,0,1,0,0
0.4696,0,0,1,0,1
0.468883,0,0,1,0,1
0.469919,0,1,0,0,1
0.53629,1,0,0,0,0
0.538756,1,0,0,0,0
0.540279,0,1,0,0,0
0.533977,0,1,0,0,0
0.490041,0,1,0,0,0
0.494689,0,1,0,0,0
0.482084,0,1,0,0,0
0.471599,0,1,0,0,0
0.470788,0,1,0,0,0
0.408763,0,0,1,0,1
0.415796,0,0,1,0,1
0.4242,1,0,0,1,0
0.423027,1,0,0,1,0
0.543109,0,0,1,0,0
0.541402,0,1,0,0,0
0.530531,0,1,0,0,0
0.527445,0,0,1,0,0
0.521721,0,1,0,0,0
0.518978,0,1,0,0,0
0.538105,0,1,0,0,0
0.54039,0,1,0,0,0
0.452123,0,0,1,0,0
0.44815,0,0,1,0,0
0.476254,0,0,1,0,1
0.427834,0,0,1,1,0
0.397963,1,0,0,0,0
0.511065,0,1,0,0,0
0.530177,0,0,1,0,1
0.531396,0,0,1,0,1
0.414321,0,0,1,0,1
0.412896,0,0,1,0,0
0.363796,0,0,1,0,0
0.035862,0,0,1,1,0
0.172629,0,0,1,1,0
0.396157,1,0,0,0,0
0.365421,0,0,1,0,0
0.41106,1,0,0,0,0
0.408785,1,0,0,0,0
0.40397,1,0,0,0,0
0.540558,0,1,0,0,0
0.535434,0,1,0,0,0
0.387054,0,0,1,0,0
0.381824,1,0,0,0,0
0.388582,1,0,0,0,0
0.378345,0,0,1,1,0
0.37137,0,0,1,1,0
0.393147,1,0,0,0,0
0.450312,1,0,0,0,0
0.519782,0,1,0,0,0
0.507986,0,1,0,0,0
0.52932,0,1,0,0,0
0.53907,0,1,0,0,0
0.536786,0,1,0,0,0
0.536167,0,1,0,0,0
0.504326,0,0,1,0,0
0.503103,0,0,1,0,0
0.495131,0,0,1,0,0
0.482542,0,0,1,0,0
0.505064,0,0,1,0,0
0.526047,0,0,1,0,0
0.489215,0,1,0,0,0
0.491422,0,1,0,0,0
0.503423,0,1,0,0,1
0.516502,0,1,0,0,1
0.542765,0,1,0,0,0
0.529431,0,1,0,0,0
0.536405,0,1,0,0,0
0.527835,0,1,0,0,0
0.473725,0,0,1,0,1
0.470502,0,0,1,0,1
0.472352,0,0,1,0,1
0.331251,0,0,1,0,0
0.427939,0,0,1,1,0
0.425121,1,0,0,1,0
0.385092,1,0,0,0,0
0.292438,0,0,1,0,0
0.344576,0,0,1,0,0
0.306401,0,0,1,0,0
0.4191,1,0,0,1,0
0.414413,0,0,1,0,0
0.427437,1,0,0,1,0
0.420381,1,0,0,0,0
0.516689,0,0,1,0,0
0.533527,0,1,0,0,0
0.538646,0,1,0,0,0
0.521833,0,0,1,1,0
0.539775,0,1,0,0,0
0.459219,0,0,1,0,0
0.461493,0,0,1,0,0
0.535509,0,1,0,0,0
0.531113,0,0,1,0,1
0.525606,0,1,0,0,0
0.526191,0,1,0,0,0
0.52334,0,0,1,0,0
0.52448,0,0,1,0,0
0.5214,0,0,1,1,0
0.506702,0,0,1,0,0
0.509944,0,0,1,0,0
0.533599,0,1,0,0,0
0.534068,0,1,0,0,0
0.540015,0,1,0,0,0
0.510799,0,0,1,0,0
0.534365,1,0,0,0,0
0.520336,1,0,0,0,0
0.526467,1,0,0,0,0
0.426019,1,0,0,1,0
0.42753,1,0,0,1,0
0.475518,0,1,0,0,1
0.322742,0,0,1,0,0
0.355915,0,0,1,0,0
0.443342,1,0,0,1,0
0.452781,1,0,0,1,0
0.501082,0,1,0,0,0
0.444734,1,0,0,1,0
0.121562,0,0,1,0,0
0.112007,0,0,1,0,0
0.516992,1,0,0,0,0
0.522935,1,0,0,0,0
0.465574,0,0,1,0,0
0.428992,0,0,1,1,0
0.421885,1,0,0,1,0
0.425268,1,0,0,1,0
0.460147,1,0,0,1,0
0.206218,0,0,1,0,0
0.458223,1,0,0,1,0
0.454762,1,0,0,1,0
0.456688,1,0,0,1,0
0.45922,1,0,0,1,0
0.482855,0,0,1,1,0
0.476334,0,0,1,1,0
0.432863,1,0,0,0,0
0.43906,1,0,0,0,0
0.349783,0,0,1,0,0
0.298234,0,0,1,0,0
0.39557,0,0,1,0,0
0.350391,0,0,1,0,0
0.380175,1,0,0,0,0
0.403282,1,0,0,0,0
0.292904,0,0,1,0,0
0.312154,0,0,1,0,0
0.448524,0,0,1,0,0
0.44483,1,0,0,0,0
0.449132,1,0,0,1,0
0.53772,0,1,0,0,0
0.48128,0,1,0,0,1
0.477579,0,1,0,0,1
0.479666,0,1,0,0,1
0.217231,0,0,1,0,0
0.24866,0,0,1,0,0
0.224108,0,0,1,0,0
0.416225,1,0,0,1,0
0.407725,1,0,0,1,0
0.454568,1,0,0,0,0
0.382121,0,0,1,0,0
0.452264,1,0,0,1,0
0.516595,1,0,0,0,0
0.506678,0,0,1,0,0
0.510399,1,0,0,0,0
0.357744,0,0,1,0,0
0.333358,0,0,1,0,0
0.380825,0,0,1,0,0
0.429481,0,0,1,1,0
0.417786,0,0,1,0,0
0.422739,1,0,0,1,0
0.408351,0,0,1,0,0
0.542097,0,1,0,0,0
0.531537,0,0,1,0,0
0.522256,0,0,1,1,0
0.524963,0,0,1,1,0
0.541656,0,1,0,0,0
0.423865,0,0,1,0,0
0.365253,0,0,1,0,0
0.411687,0,0,1,0,0
0.407026,0,0,1,0,1
0.256975,0,0,1,0,0
0.184813,0,0,1,0,0
0.020354,0,0,1,1,0
0.425718,0,0,1,0,0
0.428743,0,0,1,0,0
0.381838,0,0,1,1,0
0.390348,1,0,0,0,0
0.50957,0,1,0,0,0
0.499765,0,1,0,0,0
0.43988,1,0,0,1,0
0.443718,1,0,0,1,0
0.391815,0,0,1,0,1
0.443906,1,0,0,0,0
0.447722,1,0,0,1,0
0.528785,0,0,1,0,1
0.531032,0,0,1,0,1
0.532978,0,0,1,0,1
0.519425,0,0,1,1,0
0.470454,0,0,1,1,0
0.48015,0,0,1,1,0
0.440617,1,0,0,0,0
0.460112,1,0,0,1,0
0.461612,1,0,0,1,0
0.365502,1,0,0,1,0
0.534841,0,0,1,0,0
0.415987,1,0,0,1,0
0.405487,0,0,1,1,0
0.4443,1,0,0,0,0
0.44606,1,0,0,0,0
0.43913,1,0,0,0,0
0.440751,1,0,0,0,0
0.469344,0,0,1,1,0
0.464635,0,0,1,1,0
0.429123,0,0,1,0,0
0.429942,0,0,1,1,0
0.416659,1,0,0,1,0
0.319492,0,0,1,0,0
0.429348,1,0,0,0,0
0.409573,1,0,0,1,0
0.239153,0,0,1,1,0
0.398755,0,0,1,0,0
0.411466,0,0,1,0,0
0.444178,1,0,0,1,0
0.542371,0,1,0,0,0
0.543275,0,1,0,0,0
0.535148,0,0,1,0,0
0.495897,0,0,1,0,1
0.485399,0,0,1,0,1
0.345389,1,0,0,1,0
0.388669,1,0,0,1,0
0.456598,1,0,0,0,0
0.426038,0,0,1,1,0
0.400356,1,0,0,0,0
0.398341,1,0,0,0,0
0.149976,0,0,1,1,0
0.404422,0,0,1,0,0
0.39758,0,0,1,0,0
0.388564,0,0,1,0,0
0.417829,1,0,0,1,0
0.427139,0,0,1,1,0
0.429104,0,0,1,1,0
0.463209,1,0,0,1,0
0.420678,1,0,0,1,0
0.416737,1,0,0,1,0
0.488293,0,1,0,0,0
0.500497,0,1,0,0,0
0.541186,0,0,1,0,0
0.285311,1,0,0,0,0
0.267148,0,0,1,0,0
0.428052,0,0,1,1,0
0.373065,0,0,1,1,0
0.540026,1,0,0,0,0
0.535809,1,0,0,1,0
0.54298,0,1,0,0,0
0.535792,0,0,1,0,0
0.537734,0,1,0,0,0
0.433229,1,0,0,1,0
0.424815,0,0,1,1,0
0.429268,1,0,0,0,0
0.426631,1,0,0,1,0
0.435688,1,0,0,1,0
0.415508,1,0,0,1,0
0.401145,1,0,0,1,0
0.45473,1,0,0,0,0
0.535473,0,1,0,0,0
0.435967,1,0,0,0,0
0.430285,1,0,0,0,0
0.433496,1,0,0,0,0
0.503355,0,0,1,0,0
0.496209,0,0,1,1,0
0.499895,0,0,1,0,1
0.502473,0,0,1,1,0
0.471899,0,0,1,0,0
0.487688,0,0,1,1,0
0.49928,0,0,1,0,1
0.455073,0,0,1,0,0
0.457663,0,0,1,0,0
0.467309,0,0,1,0,0
0.478192,0,0,1,0,1
0.423645,1,0,0,1,0
0.426711,1,0,0,0,0
0.447252,1,0,0,1,0
0.428701,0,0,1,1,0
0.426978,1,0,0,1,0
0.427061,0,0,1,0,0
0.456508,1,0,0,1,0
0.449957,1,0,0,1,0
0.273977,1,0,0,1,0
0.441271,1,0,0,1,0
0.437364,1,0,0,1,0
0.435373,1,0,0,1,0
0.333886,0,0,1,1,0
0.206806,1,0,0,1,0
0.201814,1,0,0,1,0
0.418521,1,0,0,1,0
0.1089,1,0,0,1,0
0.248968,0,0,1,1,0
0.453574,1,0,0,1,0
0.450654,1,0,0,1,0
0.19691,1,0,0,1,0
0.267394,0,0,1,1,0
0.380503,0,0,1,1,0
0.408552,1,0,0,0,0
0.270189,1,0,0,1,0
0.531632,1,0,0,1,0
0.513713,1,0,0,0,0
0.542504,0,0,1,0,0
0.519079,1,0,0,1,0
0.527926,0,0,1,0,0
0.391907,0,0,1,0,1
0.414269,0,0,1,0,0
0.419523,0,0,1,0,0
0.463976,0,0,1,0,0
0.479775,0,0,1,0,1
0.472523,0,0,1,0,0
0.512518,0,0,1,1,0
0.536078,0,1,0,0,0
0.539111,0,1,0,0,0
0.41637,0,0,1,1,0
0.40895,0,0,1,1,0
0.447037,1,0,0,1,0
0.440872,1,0,0,1,0
0.513052,0,0,1,0,0
0.529002,1,0,0,0,0
0.522995,1,0,0,0,0
0.476817,0,0,1,1,0
0.47084,0,0,1,1,0
0.475094,0,0,1,1,0
0.477732,0,0,1,0,0
0.503017,0,0,1,0,1
0.37745,1,0,0,0,0
0.45342,1,0,0,1,0
0.455982,1,0,0,1,0
0.452497,1,0,0,1,0
